DEVID,X,Y
1,3923,1068
2,3861,1099
3,3784,1135
4,3717,1167
5,3648,1200
6,3563,1245
7,3509,1269
8,3444,1303
9,3388,1328
10,3326,1362
11,3256,1396
12,3196,1426
13,3137,1453
14,3055,1492
15,2984,1527
16,2895,1573
17,2817,1607
18,2710,1658
19,2611,1704
20,2503,1746
21,2388,1788
22,2311,1839
23,2256,1913
24,2211,2002
25,2173,2090
26,2132,2178
27,2083,2283
28,2089,2340
29,2147,2258
30,2194,2151
31,2227,2061
32,2278,1952
33,2363,1841
34,2441,1804
35,2561,1758
36,2670,1712
37,2774,1670
38,2874,1620
39,2957,1575
40,3039,1542
41,3110,1501
42,3180,1470
43,3245,1439
44,3304,1412
45,3369,1378
46,3429,1347
47,3491,1318
48,3548,1290
49,3622,1255
50,3693,1221
51,3760,1186
52,3836,1153
53,3909,1117
54,3981,1082
